Country,Birth Rate,Cancer Rate,Dengue Cases,EPI,GDP,Health Expenditure,Heart Disease Rate,Population,Area,Pop Density,Stroke Rate,Life Expectancy
tajikistan,28.7,85.21,,47.85,7520,43,271.42,7616400,143100,53.2,140.11,69.07
tanzania,39.8,107.61,,50.83,57862,,85.3,43187823,947303,45.6,76.58,64.04
thailand,12.4,107.92,108863,49.88,487239,172,71.19,63878267,513120,124.5,62.45,74.14
timor-leste,39.2,121.02,,49.54,3090,51,122.96,,,,102.11,67.73
togo,30.9,91.93,,41.78,5358,31,145.94,6191155,56785,109,143.6,59.01
tokelau (new zealand),22.1,,,,,,,,,,,
tonga,26.5,159.49,,62.49,470,178,128.72,,,,75.78,72.6
trinidad and tobago,15.2,123.29,1200,67.36,22311,801,154.33,1317714,5131,256.8,75.02,70.23
tunisia,18.6,71.25,,62.35,39911,244,107.16,10547100,163610,64.5,98.12,74.6
turkey,16.7,137.04,,52.96,766428,539,108.59,73722988,783356,94.1,58.99,74.84
turkmenistan,21.7,110.62,,66.1,44114,222,411.1,5479800,491210,11.2,170.8,65.39
turks and caicos islands (uk),14.8,,,,,,,,,,,
tuvalu,22.9,,,,45,440,,,,,,
u.s. virgin islands,11.1,,,,,,,,,,,80.06
uganda,44.1,158.91,,44.28,28122,63,65.39,31784600,241038,131.9,91.84,57.25
ukraine,11,130.51,,52.87,124603,189,395.73,45782592,603628,75.8,118.81,70.76
united arab emirates,9.6,,,58.9,424635,1359,,8264070,83600,98.9,,76.67
united kingdom,12.9,134.39,,79.89,2828644,3307,57.34,62026962,242495,255.8,27.45,80.45
united republic of tanzania,,,,,,36,,,,,,
united states of america,12.7,114.15,198,71.19,20494050,7950,86.89,309349689,9833520,31.5,23.69,78.88
uruguay,14.1,158.35,,64.65,60180,1002,70.98,3356584,176215,19,45.51,76.96
uzbekistan,21.5,62.91,,45.88,41241,74,325.43,28001400,448978,62.4,83.74,68.25
vanuatu,31.1,82.15,,44.55,928,82,137.11,,,,100.56,71.48
venezuela,20.2,107.64,124931,63.89,98468,614,126.76,28833845,716445,40.2,53.59,73.95
vietnam,16.6,113.05,80000,46.96,241272,77,68.84,86932500,331230,262.5,115.38,75.57
wallis and futuna (france),13.4,,,,,,,,,,,
western sahara (sahrawi),21.9,,,,,,,,,,,67.61
yemen,35.9,69.45,,,26914,68,298.84,23153982,527968,43.9,164.35,63.51
zambia,43.6,112.19,,50.97,25179,67,85.07,13257269,752618,17.6,64.18,58.75
zimbabwe,29.2,117.18,,43.41,26127,78,77.38,12644041,390757,32.4,63.38,54.78
