,Country,Birth Rate,Cancer Rate,Dengue_Cases,EPI,GDP(US$mil),Health Expenditure,Heart Disease Rate,Population,Area(km²),Pop_density,Stroke Rate,Life Expectancy
127,fiji,21.4,92.64,,53.09,4809,135,161.57,,,,73.71,69.72
128,syria,27.6,126.8,,,"77,460/Na",,256.78,20619000.0,185180.0,111.3,106.07,69.51
129,iraq,31.0,108.08,,43.2,226070,145,215.95,32481000.0,437072.0,74.3,94.27,69.19
130,tajikistan,28.7,85.21,,47.85,7520,43,271.42,7616400.0,143100.0,53.2,140.11,69.07
131,kazakhstan,22.5,195.42,,54.56,170539,364,182.6,16442000.0,2724900.0,6.0,90.99,69.07
132,nepal,24.3,78.34,280.0,31.44,28812,30,158.35,28043744.0,147181.0,190.5,80.01,69.03
133,federated states of micronesia,,,,,,,,,,,,68.93
134,mongolia,25.1,197.11,,57.51,13038,96,243.21,2780800.0,1566000.0,1.8,183.93,68.89
135,bhutan,20.7,73.27,,47.22,2627,69,151.69,,,,65.88,68.88
136,indonesia,18.1,109.83,10230.0,46.92,1022454,107,140.88,237641326.0,1904569.0,124.8,186.29,68.59
137,indonesia,18.1,109.83,5805.0,46.92,1022454,107,140.88,237641326.0,1904569.0,124.8,186.29,68.59
138,indonesia,18.1,109.83,5284.0,46.92,1022454,107,140.88,237641326.0,1904569.0,124.8,186.29,68.59
139,indonesia,18.1,109.83,1123.0,46.92,1022454,107,140.88,237641326.0,1904569.0,124.8,186.29,68.59
140,uzbekistan,21.5,62.91,,45.88,41241,74,325.43,28001400.0,448978.0,62.4,83.74,68.25
141,philippines,25.3,97.69,119789.0,57.65,330846,92,191.79,94013200.0,343448.0,273.7,134.74,67.99
142,timor-leste,39.2,121.02,,49.54,3090,51,122.96,,,,102.11,67.73
143,bolivia,,89.74,,55.98,41410,101,91.29,10426154.0,1098581.0,9.5,63.35,67.72
144,western sahara,,,,,,,,,,,,67.61
145,cambodia,25.4,122.7,3771.0,43.23,24523,54,144.95,14302779.0,181035.0,79.0,119.57,67.61
146,solomon islands,34.3,,,43.22,1424,94,,,,,,67.53
147,india,21.8,72.21,5837.0,30.57,2716746,45,146.11,1182105564.0,3287263.0,359.6,71.48,67.47
148,india,21.8,72.21,496.0,30.57,2716746,45,146.11,1182105564.0,3287263.0,359.6,71.48,67.47
149,guyana,16.6,89.03,,47.93,3636,141,207.86,,,,140.94,66.24
150,são tomé and príncipe,29.4,,,54.01,449,,,,,,,66.23
151,pakistan,27.5,88.37,7000.0,37.5,312570,27,246.84,173510000.0,881913.0,196.7,100.5,65.88
152,senegal,36.7,74.43,,49.52,24027,40,112.06,12509434.0,196712.0,63.6,119.65,65.81
153,kiribati,27.8,114.51,,55.26,189,140,124.6,,,,169.81,65.74
154,myanmar,19.3,122.3,,45.32,68559,15,78.45,59780000.0,676578.0,88.4,159.87,65.64
